Resolution,Data_Rate(bps),Time(s)
16,194078862.96921647,1.0070288181304932
16,138882663.77438307,1.0070569515228271
16,159895771.55882904,1.0074312686920166
16,136737597.76855856,1.0071885585784912
16,133414051.4832729,1.007012128829956
16,141388704.9057013,1.00779128074646
16,174252882.56577364,1.007504940032959
16,250066320.73682025,1.0076415538787842
16,250037487.15707707,1.0077242851257324
16,249966366.246732,1.0080444812774658
16,250099144.06501153,1.0075762271881104
16,300668644.9724419,1.0083837509155273
16,3249345909.1128893,1.0081658363342285
16,232599131.88049856,1.0082650184631348
16,213715272.31149036,1.0090217590332031
16,103938672.33015525,1.0086169242858887
16,107481408.96463513,1.0086157321929932
16,119122480.55891766,1.0090985298156738
16,112896067.90406634,1.0087904930114746
16,112300966.7065153,1.009230136871338
16,249281836.84177324,1.009369134902954
16,249982345.00583118,1.009084701538086
16,250009204.58342484,1.0092105865478516
16,249913507.41916683,1.0095300674438477
16,249989383.85404265,1.0094914436340332
16,1968694426.493547,1.0092847347259521
16,2105955227.2821891,1.0095574855804443
16,209713489.80692646,1.0092427730560303
16,164681375.84017065,1.0092532634735107
16,144573861.05155155,1.009782314300537
16,136441320.79269782,1.0093142986297607
16,143656152.53373247,1.0092430114746094
16,145468527.971043,1.0094969272613525
16,139526823.11244747,1.009244680404663
16,249943560.79333973,1.0094809532165527
16,249928576.2677623,1.0095696449279785
16,249938856.4068373,1.0092267990112305
16,250038472.49683133,1.0092263221740723
16,245002423.87065202,1.0095465183258057
16,3328660552.6937475,1.0093681812286377
16,757073774.4519017,1.0092239379882812
16,180980539.0291899,1.009169101715088
16,116374940.75255866,1.0091938972473145
16,105956095.38322286,1.0094726085662842
16,112126485.2614567,1.0094454288482666
16,109640138.71377301,1.0092875957489014
16,138678547.27137682,1.0092029571533203
16,228080640.89360312,1.00923490524292
16,250023942.40924037,1.0092849731445312
16,250029429.72873926,1.009770154953003
16,249982133.00611585,1.0092864036560059
16,250111756.45521778,1.0092651844024658
16,1226188260.5167685,1.0097110271453857
16,2777892799.2989993,1.009277582168579
16,209306956.06160995,1.009523868560791
16,219216945.0578975,1.0095791816711426
16,147223873.11492693,1.0092263221740723
16,138057786.6853586,1.0092554092407227
16,124089123.11961365,1.008361577987671
16,120961987.01704264,1.0093872547149658
16,125532953.37602946,1.0092291831970215
16,249939318.8770685,1.009526252746582
16,250003902.08736885,1.0091650485992432
16,250035371.9112189,1.0094449520111084
16,249856043.3433933,1.00956130027771
16,249964178.98395598,1.0091915130615234
16,2693910588.01378,1.0091757774353027
16,1358741178.6702251,1.0094444751739502
16,204899839.71450725,1.0095107555389404
16,123911109.86338656,1.0092699527740479
16,145397922.64721152,1.0092389583587646
16,158665551.07861003,1.0092828273773193
16,172008873.1442395,1.00921630859375
16,159910677.34386376,1.0094828605651855
16,180005741.60605547,1.0092880725860596
16,250000589.46119046,1.0095131397247314
16,249976097.12151402,1.0092103481292725
16,250062068.44325426,1.0092649459838867
16,249877249.5271341,1.0098493099212646
16,224721613.08081782,1.0092766284942627
16,3738126003.9743485,1.0092434883117676
16,496881996.3580517,1.0095181465148926
16,193176903.22377616,1.0092616081237793
16,110411479.14413153,1.0095124244689941
16,86844423.46940093,1.0096204280853271
16,84155921.28609876,1.0092599391937256
16,109401121.1911923,1.0092744827270508
16,119385977.93417734,1.0096049308776855
16,249847965.1500833,1.0094599723815918
16,250010667.66739804,1.0092716217041016
16,249917782.8907316,1.0095462799072266
16,249956172.57699123,1.0092573165893555
16,250064055.89515874,1.009223461151123
16,1592626139.7502015,1.009892463684082
16,2296147723.130256,1.0092339515686035
16,209646713.15531954,1.0092449188232422
16,163952515.0830028,1.009197473526001
16,137974287.3841586,1.0092597007751465
16,151719706.08712772,1.009434700012207
16,132032841.69834408,1.0092973709106445
16,141038780.65951946,1.0092236995697021
16,132819670.91884476,1.009366512298584
16,249941892.81016034,1.0092480182647705
16,250033369.70663363,1.0094811916351318
16,249986833.17585945,1.009568691253662
16,249938915.45211944,1.0092265605926514
16,247505413.6120667,1.0092432498931885
16,3368952025.821876,1.0097754001617432
16,670494836.8916568,1.0095736980438232
16,223770817.9097158,1.0093393325805664
16,123017794.70342277,1.0095245838165283
16,123223794.20345955,1.00919508934021
16,119846270.56623474,1.0092883110046387
16,194451520.2410587,1.0097465515136719
16,143427823.117081,1.009216070175171
16,161152785.66565523,1.0092833042144775
16,249922774.14517635,1.0094926357269287
16,249956344.6324254,1.009490966796875
16,249971163.0316366,1.0094311237335205
16,249858462.6188591,1.0095515251159668
16,300030619.0953478,1.0092172622680664
16,3729091375.9244833,1.0092337131500244
16,226912748.04095557,1.0098254680633545
16,209496654.02717525,1.0092887878417969
16,120307780.92073247,1.0093116760253906
16,155773525.10717928,1.009272813796997
16,141967237.4038104,1.0092840194702148
16,131552260.51793407,1.0094859600067139
16,123624772.08580181,1.0093061923980713
16,250108546.42185512,1.009244680404663
16,249975200.15817705,1.0092809200286865
16,249980278.6204583,1.0092604160308838
16,250093226.6247461,1.0094738006591797
16,249976325.10232806,1.0096111297607422
16,1204441612.9303124,1.0092318058013916
16,2229624551.687974,1.0092756748199463
16,210854592.17346418,1.0095751285552979
16,162863670.62564662,1.0094788074493408
16,107365080.72652754,1.0093967914581299
16,150266584.75605887,1.0095622539520264
16,138941636.54022077,1.009279489517212
16,128486236.65887827,1.0092172622680664
16,136617400.87327528,1.0098509788513184
16,250047242.2145053,1.0093247890472412
16,250061891.22695136,1.009265661239624
16,249915927.32590422,1.0095202922821045
16,249935786.09060878,1.0092391967773438
16,232932799.49705616,1.0094072818756104
16,3625278422.3917727,1.0095741748809814
16,332869657.3564651,1.0092039108276367
16,206746744.11653662,1.009235143661499
16,118741233.67977947,1.0095195770263672
16,127688744.34198402,1.0094361305236816
16,139944332.8823399,1.009223461151123
16,130707544.87458348,1.0092236995697021
16,132307214.65564787,1.009228229522705
16,240316403.55795202,1.0092101097106934
16,249985959.4810452,1.009505271911621
16,250121642.96335816,1.00925874710083
16,249999672.68192708,1.0092155933380127
16,249948244.9571312,1.0091888904571533
16,1213099154.3066576,1.0091893672943115
16,2445806054.0552006,1.0098438262939453
16,204982025.94502684,1.0092284679412842
16,181516444.8773476,1.0092322826385498
16,109452367.5952262,1.0094900131225586
16,145881207.8003054,1.0092315673828125
16,139820492.06334755,1.0095188617706299
16,121172302.75669764,1.0095689296722412
16,120616877.19097272,1.0092227458953857
16,250069984.36097074,1.009232997894287
16,249912629.08426195,1.0094666481018066
16,250024710.21713465,1.009281873703003
16,250074592.36474216,1.0092144012451172
16,249864214.07602337,1.0095617771148682
16,3065135910.1359773,1.0092124938964844
16,879314290.9814936,1.0093967914581299
16,206353664.09727797,1.009535551071167
16,152403900.35941643,1.0092406272888184
16,155862260.52939954,1.0092887878417969
16,146053351.9425649,1.0095798969268799
16,167203937.27491742,1.0094492435455322
16,143364119.77561712,1.0093142986297607
16,200993074.87567747,1.0093154907226562
16,249818102.4557442,1.0102505683898926
16,249975474.72390962,1.0095810890197754
16,249659491.2324711,1.0104901790618896
16,250043054.72631684,1.0094420909881592
16,535988861.2488234,1.0107536315917969
16,3683446562.7492304,1.0102674961090088
16,224416115.19056296,1.0092709064483643
16,207431718.80728972,1.009533166885376
16,139109119.79523426,1.0101697444915771
16,131451515.31399097,1.0095593929290771
16,112405451.69295013,1.0108113288879395
16,91301554.24029814,1.0092754364013672
16,102737848.92524004,1.0109705924987793
16,249063007.99693096,1.0092816352844238
16,250215336.64362434,1.0102519989013672
16,250057323.52078703,1.0097191333770752
16,250456495.2909121,1.0092792510986328
16,249874572.64768818,1.009486436843872
16,2508752597.2378936,1.00958251953125
16,1532401061.8801906,1.009521722793579
16,207575291.22535446,1.009641170501709
16,131467320.28260888,1.0093107223510742
16,144526451.71299738,1.009476661682129
16,141413147.22799468,1.0096290111541748
16,135293299.6100198,1.0092196464538574
16,146806803.6749241,1.0093004703521729
16,162571030.79358798,1.009537696838379
16,249900487.57409668,1.0095210075378418
16,250054625.57479408,1.0092949867248535
16,249899664.57133585,1.0096194744110107
16,250047537.5405453,1.0093235969543457
16,258671046.575396,1.009286642074585
16,3814411139.887829,1.009777545928955
16,266330914.38545492,1.009321928024292
16,219052487.85511,1.009305715560913
16,122499852.22253585,1.0095577239990234
16,120759477.64956227,1.0092782974243164
16,134223528.34615833,1.0095949172973633
16,135038395.9686126,1.009265661239624
16,120989538.69019794,1.0092265605926514
16,249529717.82854906,1.0095736980438232
16,250048735.1420632,1.009324073791504
16,250040863.34230852,1.0093505382537842
16,249987270.636068,1.009265661239624
16,249970570.18156564,1.0092661380767822
16,1198185361.6421518,1.0092146396636963
16,2457059931.134431,1.0098741054534912
16,219315874.63378006,1.0092382431030273
16,181128372.67562944,1.009223222732544
16,115976964.90475062,1.0103480815887451
16,117418288.58997047,1.0092060565948486
16,144806493.11070633,1.0095469951629639
16,154426641.33022958,1.009676456451416
16,117143971.73398927,1.0092120170593262
16,250056988.34217682,1.0092854499816895
16,249958671.47452432,1.0095150470733643
16,249967015.16087952,1.0096540451049805
16,249991073.6077622,1.0092837810516357
16,249884863.4576307,1.0095453262329102
16,2981587598.9322166,1.0091991424560547
16,1078949558.508013,1.0092403888702393
16,227945319.41895977,1.0097973346710205
16,151321194.73765856,1.009272813796997
16,129389131.82293475,1.0092241764068604
16,131343137.41269708,1.0092456340789795
16,162850734.4461471,1.0092425346374512
16,150961109.3048662,1.0098509788513184
16,208119974.4780772,1.0092504024505615
