Resolution,Data_Rate(bps),Time(s)
16,7002010514.934464,1.0093021392822266
16,7000058275.047358,1.009272813796997
16,6998623167.007319,1.0095562934875488
16,7002017131.034482,1.0093011856079102
16,7000328140.348206,1.0095112323760986
16,6999186834.509961,1.0093936920166016
16,7001534188.588638,1.0093708038330078
16,6996490959.096586,1.0098316669464111
16,6999356574.058958,1.0092592239379883
16,7001447832.145081,1.0092709064483643
16,6997239117.454144,1.009714126586914
16,6999367229.697207,1.0093772411346436
16,6998307640.196136,1.0095300674438477
16,6991440923.596903,1.0105371475219727
16,7000238614.629992,1.009251594543457
16,6988342991.257724,1.011042594909668
16,6991058825.372481,1.0114338397979736
16,6992268655.8516,1.010401964187622
16,6999946971.612077,1.0096032619476318
16,7000055013.968692,1.0092756748199463
16,6999862813.116951,1.0105562210083008
16,6996669793.392133,1.0099709033966064
16,7000836619.591792,1.010288953781128
16,7004927577.9396305,1.0093250274658203
16,7010401396.436225,1.0095407962799072
16,6999180872.3849,1.0094268321990967
16,7006018465.927473,1.0096826553344727
16,6999713602.971715,1.009369134902954
16,6999950884.797927,1.0092930793762207
16,6999747932.782995,1.0095973014831543
16,6999018527.295351,1.0094335079193115
16,7001211482.667453,1.0096778869628906
16,6997811758.530067,1.0096745491027832
16,6999550748.1472025,1.0093507766723633
16,7001918036.928962,1.0093238353729248
16,6998083908.7330265,1.0096890926361084
16,6998526636.007828,1.0096969604492188
16,7001986141.231642,1.0093307495117188
16,6997953964.113538,1.0095810890197754
16,7000122858.405466,1.0092682838439941
16,7001216695.3882475,1.0094177722930908
16,6997062167.860553,1.009880781173706
16,6999459196.311675,1.0093328952789307
16,7002554831.534237,1.0092296600341797
16,6997250031.709016,1.009533166885376
16,6999520674.041302,1.0092558860778809
16,6999001267.08966,1.0095627307891846
16,6998085284.301087,1.0095980167388916
16,6999884766.623275,1.0093038082122803
16,6999684132.430579,1.0093040466308594
16,6997050215.481994,1.0095679759979248
16,6998616017.312006,1.0096111297607422
16,6999370297.485703,1.0093648433685303
16,7000012066.747645,1.009284257888794
16,7000036870.545455,1.0092806816101074
16,6999833799.809561,1.0096650123596191
16,6998949808.687863,1.0095593929290771
16,7002456047.126841,1.0093693733215332
16,6997994927.228643,1.0096361637115479
16,7000107015.391996,1.009392499923706
16,7001834983.172685,1.0093154907226562
16,6999825266.342543,1.009906530380249
16,6999917535.134696,1.0092835426330566
16,7001839567.748708,1.0092933177947998
16,6997287216.514132,1.0097155570983887
16,6999716088.324518,1.0093269348144531
16,7000459384.6389065,1.0095257759094238
16,6996645938.712963,1.00972318649292
16,7000011326.857654,1.0092461109161377
16,7001353481.388324,1.0094637870788574
16,6996771489.117769,1.009998083114624
16,6999426274.992443,1.0095109939575195
16,6999791171.997472,1.0093507766723633
16,6997780444.528729,1.009606122970581
16,6999358862.903201,1.0094561576843262
16,6997961986.094684,1.009723424911499
16,6998193402.351991,1.0096936225891113
16,6999774450.643476,1.0093436241149902
16,6999545054.2704735,1.0093145370483398
16,6999710426.959792,1.00946044921875
16,6999069321.3663845,1.0096485614776611
16,6999784633.557235,1.0096936225891113
16,6999450382.462026,1.0093066692352295
16,7001469049.111458,1.0093443393707275
16,6996460857.139898,1.009892225265503
16,6998324875.304205,1.0096399784088135
16,7002825040.272465,1.0094237327575684
16,6999534961.998697,1.009641170501709
16,6999863480.608982,1.0093176364898682
