Resolution,Data_Rate(bps),Time(s)
16,5999829324.524883,1.0047004222869873
16,5987893788.502709,1.0071642398834229
16,5999394935.721091,1.0072238445281982
16,5997096005.7938,1.0074913501739502
16,5999306145.605061,1.0073461532592773
16,5999445466.530462,1.0074427127838135
16,5998982855.203294,1.0077338218688965
16,5999275523.461839,1.0076735019683838
16,5999364201.634995,1.0080268383026123
16,5998844555.141824,1.007854700088501
16,6015068824.932341,1.0055828094482422
16,5984106809.1114235,1.0084378719329834
16,5999923825.18768,1.0081894397735596
16,6001644703.316951,1.008437156677246
16,5997558829.234243,1.008676290512085
16,5994572453.571663,1.0089540481567383
16,5988878948.880324,1.0086123943328857
16,6007820524.479618,1.0092084407806396
16,6000650428.38458,1.0088706016540527
16,6007404965.164944,1.0089759826660156
16,5996253328.040516,1.0096104145050049
16,6005752427.983091,1.009150505065918
16,5999821978.158234,1.009281873703003
16,5997533504.740748,1.009584665298462
16,6000484294.866453,1.009251356124878
16,5998999385.113056,1.0094900131225586
16,5998123969.776068,1.0096275806427002
16,6000220008.829227,1.0092999935150146
16,6000168357.933917,1.0092849731445312
16,6000408526.59559,1.0092682838439941
16,5998913466.924674,1.0095198154449463
16,5999182317.6567745,1.0096447467803955
16,5999359377.18151,1.009270429611206
16,6000979302.724747,1.0093507766723633
16,5997841537.469041,1.009669542312622
16,5998893632.279096,1.0095231533050537
16,6001212295.769155,1.0092990398406982
16,5997616093.1325655,1.009718656539917
16,6000052336.070967,1.0093309879302979
16,6001126503.826281,1.0092353820800781
16,5996545525.860804,1.009880781173706
16,5999471852.936615,1.0093505382537842
16,6001504199.113301,1.0092875957489014
16,5997431308.184594,1.0095655918121338
16,6000438529.230701,1.0092339515686035
16,5998834758.925756,1.0094354152679443
16,5998055030.143263,1.0096642971038818
16,5999719788.168086,1.0093464851379395
16,6001826688.493914,1.0093574523925781
16,5998202004.912258,1.0095572471618652
16,5999028892.791013,1.0094306468963623
16,5999960599.838889,1.0092418193817139
16,5996797094.11213,1.0097086429595947
16,5999376467.08168,1.0093135833740234
16,5999244272.13355,1.0092172622680664
16,5999245008.276304,1.0094640254974365
16,5999624339.106031,1.009263515472412
16,5999888945.30756,1.009277582168579
16,5999586783.585041,1.0093116760253906
16,6000859892.292066,1.0092439651489258
16,5999124609.261042,1.0094187259674072
16,5998844191.077705,1.009446382522583
16,6001246318.79457,1.0092933177947998
16,5999774320.947162,1.0095744132995605
16,5999758903.728711,1.0093343257904053
16,6000555855.413434,1.00950288772583
16,5997870909.042514,1.009695291519165
16,6000331207.365855,1.009277105331421
16,6001941806.194347,1.009244680404663
16,5997027429.423322,1.0097298622131348
16,5999083601.865721,1.0093224048614502
16,6002009518.028521,1.0092904567718506
16,5997791552.371295,1.0095677375793457
16,6000132572.3742075,1.0092840194702148
16,5998125301.983938,1.0097124576568604
16,5998187903.746829,1.009653091430664
16,5999708656.464328,1.0094585418701172
16,5999272353.953814,1.0094566345214844
16,5999545044.456615,1.0092949867248535
16,5998530604.553774,1.0096428394317627
16,5999656227.486054,1.0093557834625244
16,5999621297.681728,1.009488582611084
16,5999736220.827695,1.0094218254089355
16,5999068158.017761,1.0095760822296143
16,5999337050.320448,1.009486198425293
16,6001840031.716198,1.009314775466919
16,5997953388.250792,1.0095851421356201
16,5999283609.113863,1.0092315673828125
16,6002416208.736601,1.0092875957489014
16,5996050135.272042,1.0100018978118896
16,5999667209.609837,1.0094027519226074
16,6002176590.077851,1.0093278884887695
16,5997733533.738757,1.009718418121338
16,5999719364.804474,1.0093214511871338
16,6000449895.596561,1.0095555782318115
16,5997970688.453697,1.009636640548706
16,5999211559.481256,1.0094473361968994
16,5999521324.20853,1.0094454288482666
16,5997242777.886511,1.0095889568328857
16,5999140887.324744,1.0095233917236328
16,6000242687.031465,1.009296178817749
16,5997751944.496766,1.0097153186798096
