Resolution,Data_Rate(bps),Time(s)
16,302737071.9200497,1.0047004222869873
16,184223840.21644405,1.0071642398834229
16,186431170.21118435,1.0072238445281982
16,199695832.58979133,1.0074913501739502
16,218499008.7943962,1.0073461532592773
16,214225366.12889534,1.0074427127838135
16,268452905.052139,1.0077338218688965
16,374979633.04770464,1.0076735019683838
16,375005920.1167009,1.0080268383026123
16,303225978.87688,1.007854700088501
16,3258940691.1183634,1.0055828094482422
16,164250269.26300076,1.0084378719329834
16,205018977.43188483,1.0081894397735596
16,192405460.9801527,1.008437156677246
16,186677071.49575755,1.008676290512085
16,178083131.06850982,1.0089540481567383
16,190596571.170583,1.0086123943328857
16,220740222.73107567,1.0092084407806396
16,375073829.4679299,1.0088706016540527
16,375409181.6924653,1.0089759826660156
16,374790698.03922296,1.0096104145050049
16,420982786.87602663,1.009150505065918
16,3417286268.449248,1.009281873703003
16,227670082.4611368,1.009584665298462
16,218459021.79072157,1.009251356124878
16,219725379.26739326,1.0094900131225586
16,210644720.96197945,1.0096275806427002
16,213250103.4211075,1.0092999935150146
16,200501691.18194255,1.0092849731445312
16,216888329.40066493,1.0092682838439941
16,374965248.04038703,1.0095198154449463
16,374960290.941169,1.0096447467803955
16,374974988.76073086,1.009270429611206
16,1638148630.0046883,1.0093507766723633
16,1464855739.445544,1.009669542312622
16,190847363.30141535,1.0095231533050537
16,182399856.46776858,1.0092990398406982
16,185440138.98053372,1.009718656539917
16,212820732.31544742,1.0093309879302979
16,216323291.74788803,1.0092353820800781
16,223584553.94861308,1.009880781173706
16,282373733.6020898,1.0093505382537842
16,375043230.0905567,1.0092875957489014
16,374881936.41847855,1.0095655918121338
16,292414118.194615,1.0092339515686035
16,3242341164.670979,1.0094354152679443
16,156459037.37818983,1.0096642971038818
16,152479112.24356928,1.0093464851379395
16,183923029.0121203,1.0093574523925781
16,185205861.8029232,1.0095572471618652
16,185061977.8331135,1.0094306468963623
16,180577804.54603907,1.0092418193817139
16,179690425.8125286,1.0097086429595947
16,374975538.06303066,1.0093135833740234
16,375019617.8268202,1.0092172622680664
16,374952813.017269,1.0094640254974365
16,451397496.3087359,1.009263515472412
16,3309864999.5002327,1.009277582168579
16,216165996.2749816,1.0093116760253906
16,188371294.3202456,1.0092439651489258
16,159415152.36482325,1.0094187259674072
16,220025015.5386843,1.009446382522583
16,208384726.51293287,1.0092933177947998
16,202674478.77493575,1.0095744132995605
16,179607833.96327776,1.0093343257904053
16,375012981.7388073,1.00950288772583
16,374850356.51749986,1.009695291519165
16,374980799.6246219,1.009277105331421
16,1848514831.1626217,1.009244680404663
16,1180261672.5506382,1.0097298622131348
16,199889033.50232732,1.0093224048614502
16,179997025.4163081,1.0092904567718506
16,180063630.43640023,1.0095677375793457
16,191995288.00794473,1.0092840194702148
16,210776189.18744257,1.0097124576568604
16,218479842.10837084,1.009653091430664
16,300530888.01247054,1.0094585418701172
16,374955558.32313895,1.0094566345214844
16,374950599.1583473,1.0092949867248535
16,271318566.6271583,1.0096428394317627
16,3954131965.548086,1.0093557834625244
16,245339769.3309193,1.009488582611084
16,182419118.9103746,1.0094218254089355
16,135063183.84530386,1.0095760822296143
16,131784331.68033572,1.009486198425293
16,178235044.57940653,1.009314775466919
16,181660216.99967057,1.0095851421356201
16,189078382.17432454,1.0092315673828125
16,375068103.08028305,1.0092875957489014
16,374753133.45450264,1.0100018978118896
16,374992153.80484873,1.0094027519226074
16,323866560.83528715,1.0093278884887695
16,3299452905.096608,1.009718418121338
16,181145223.6400568,1.0093214511871338
16,208935674.81389946,1.0095555782318115
16,211314169.30753487,1.009636640548706
16,220978121.39502198,1.0094473361968994
16,198090676.60858858,1.0094454288482666
16,213818994.88796824,1.0095889568328857
16,212473475.8585175,1.0095233917236328
16,374973713.30912304,1.009296178817749
16,374867784.0154954,1.0097153186798096
16,363694532.76349086,1.0093979835510254
16,2454757218.191658,1.0092840194702148
16,690903825.1634033,1.009423017501831
16,189057614.09208527,1.0093424320220947
16,180305452.52619842,1.0092811584472656
16,183119780.76994637,1.0093066692352295
16,186857572.80645534,1.0093212127685547
16,187066711.62352484,1.0095276832580566
16,207797291.5786213,1.0093276500701904
16,357805994.642437,1.0092883110046387
16,374983225.11550415,1.0095829963684082
16,374958087.1733995,1.009248971939087
16,192108874.98812556,1.0095584392547607
16,3127377256.1208158,1.009596347808838
16,163419501.0822655,1.0093655586242676
16,222043120.01308507,1.0092787742614746
16,208629580.61498153,1.0095527172088623
16,213672600.96386632,1.0094974040985107
16,206407780.9863574,1.0094330310821533
16,192510280.0077679,1.0096702575683594
16,183115574.04248577,1.009291410446167
16,374948824.7483792,1.0093631744384766
16,374900592.43606937,1.0096492767333984
16,374979843.5014217,1.0089895725250244
16,1888177497.2226431,1.0094192028045654
16,1685731164.1168778,1.0095770359039307
16,167958564.5305607,1.0095891952514648
16,180718254.69370484,1.0092909336090088
16,187707052.39153093,1.009382724761963
16,212792134.78489837,1.0094273090362549
16,212968727.606157,1.0096511840820312
16,224714835.42447278,1.0095677375793457
16,282460508.15562195,1.0093367099761963
16,374984148.27608854,1.009223461151123
16,374970436.809085,1.0094165802001953
16,289299422.8844078,1.0093152523040771
16,3141119865.335916,1.0098333358764648
16,191417571.19048214,1.0093574523925781
16,157657621.14399666,1.0088353157043457
16,183943461.9549046,1.0096547603607178
16,181485516.11445984,1.0093581676483154
16,177269544.83341035,1.0095250606536865
16,182636743.4842466,1.0097768306732178
16,182805894.77972046,1.0093002319335938
16,375097203.5834172,1.009343147277832
16,374883640.4090216,1.0096056461334229
16,374948157.57927805,1.009565830230713
16,925859663.0242907,1.0093193054199219
16,2984364010.3776865,1.0096313953399658
16,209490395.91510686,1.0093588829040527
16,184344613.61018562,1.0093259811401367
16,210613589.6924949,1.009657621383667
16,212728631.32203338,1.00929594039917
16,196162280.6405549,1.0094294548034668
16,212210823.2636833,1.0093927383422852
16,215572887.49816328,1.0092549324035645
16,374938357.2657522,1.0098600387573242
16,374992385.36969054,1.0093128681182861
16,349334291.4337467,1.0093073844909668
16,3324695661.791688,1.0095601081848145
16,473474360.0789113,1.009251356124878
16,161635683.5898038,1.0095813274383545
16,173343032.20375955,1.0096070766448975
16,228072930.1845585,1.009305715560913
16,177118593.37206808,1.0092988014221191
16,183887207.19478124,1.00956130027771
16,208145966.06448796,1.009486198425293
16,349638790.65046704,1.0092899799346924
16,374906714.02131766,1.009565830230713
16,374988647.79501563,1.0092782974243164
16,215019834.3743374,1.0093212127685547
16,3585249095.949369,1.0098645687103271
16,246006557.5377313,1.0094056129455566
16,218169689.71403682,1.009324073791504
16,155208768.55297858,1.0096025466918945
16,165384463.30541748,1.006328821182251
16,170960304.81012103,1.009434700012207
16,180652152.45840874,1.009335994720459
16,225466603.9797053,1.009467601776123
16,374958758.9955553,1.009784460067749
16,374996500.0490203,1.0090563297271729
16,374871183.0289346,1.0100409984588623
16,1810835831.8710458,1.0093157291412354
16,1892395500.5194957,1.0092785358428955
16,158859732.51158994,1.0093133449554443
16,176783990.7206332,1.0099310874938965
16,155976749.9876423,1.0092990398406982
16,220446038.3397209,1.009340524673462
16,195487810.52000254,1.0096161365509033
16,212470247.88499928,1.009263038635254
16,254121515.1270569,1.0096070766448975
16,374859096.56491786,1.009627103805542
16,374972685.6992719,1.0092766284942627
16,318102894.7367537,1.0092542171478271
16,3328690909.0204024,1.0096409320831299
16,205033764.98803565,1.0094635486602783
16,164115973.93713284,1.0093140602111816
16,141916123.54525414,1.0097064971923828
16,119386204.6183414,1.0093927383422852
16,180446485.61930442,1.0092806816101074
16,174627522.26627505,1.0097520351409912
16,177538426.04096913,1.0094101428985596
16,368961463.44003904,1.0094358921051025
16,374943198.9806054,1.0095791816711426
16,375004803.5396281,1.009324073791504
16,353262292.7740747,1.009833812713623
16,3396133678.0044904,1.0092849731445312
16,215178521.4936018,1.0092768669128418
16,193936661.05956653,1.0096657276153564
16,151241778.7372917,1.0092582702636719
16,204381023.2434809,1.0095758438110352
16,200052820.6036221,1.0096254348754883
16,183432478.95961997,1.0094108581542969
16,170973954.05173072,1.0093541145324707
16,374907565.5417755,1.0095858573913574
16,374892505.5436393,1.0095148086547852
16,375129795.2830901,1.0093669891357422
16,2467537273.1379957,1.0095877647399902
16,1380286039.8450468,1.0093414783477783
16,155664600.6302519,1.0092802047729492
16,148792543.1258872,1.0097780227661133
16,182690858.0137992,1.0092945098876953
16,190875734.44621748,1.0092415809631348
16,212008186.9597697,1.009528636932373
16,217120053.68872997,1.0092763900756836
16,297752371.58988094,1.0095479488372803
16,375031468.66744196,1.0092523097991943
16,374911139.4729317,1.0092637538909912
16,285600573.53509873,1.00925612449646
16,3613624018.7375445,1.009305715560913
16,247028088.5753168,1.0093302726745605
16,209634776.60126585,1.0095818042755127
16,168481513.3121003,1.009336233139038
16,141923995.3038646,1.0092377662658691
16,165057276.79586965,1.009286880493164
16,181924613.78960478,1.009267807006836
16,177407392.0820081,1.0093066692352295
16,374880907.30555934,1.0095460414886475
16,375082140.0382358,1.0092756748199463
16,375048581.8110201,1.0095186233520508
16,1482270218.7514048,1.00962233543396
16,2295363613.41048,1.009352684020996
